item                              mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
clockRate.c:6098_introns          2956.729 91.65774 1522.741 2680.093 501.9795 6004.013 17506526 276.0030 2576.806
clockRate.c:6295_introns          2802.949 99.8563  1634.269 2368.837 258.3440 5770.365 18039199 267.8530 2273.165
clockRate.c:6298_introns          9770.046 372.2394 6277.054 8898.453 415.8274 21996.21 16992089 284.3590 7561.966
clockRate.c:6303_introns          7906.028 318.4220 5203.639 6492.119 1209.041 17762.26 18092793 267.0596 6243.630
clockRate.c:6366_introns          6960.112 201.6147 3457.813 5930.778 2150.902 14013.31 16426880 294.1431 6207.338
clockRate.c:6383_introns          3706.391 145.1297 2381.333 3176.026 359.5766 8045.744 17946787 269.2323 2838.854
clockRate.c:6401_introns          23849.52 936.8180 15508.87 19177.22 4154.325 55663.04 17630468 274.0627 19581.29
clockRate.c:6406_introns          18940.28 589.3338 9927.347 17181.62 2616.240 39029.13 17028255 283.7551 16301.00
clockRate.c:6420_introns          1353.485 68.72044 1113.029 952.3042 165.5940 3644.446 18419272 262.3260 1013.737
clockRate.c:6450_introns          324.1040 15.04002 242.4328 223.2556 49.11052 781.7706 18596366 259.8279 240.3636
clockRate.c:6460_introns          21065.81 805.3860 13302.66 16666.31 4720.708 52136.83 17711065 272.8156 18317.42
clockRate.c:6462_introns          680.2944 21.86562 360.4374 591.1341 161.0580 1503.966 17781888 271.7290 602.1945
clockRate.c:6494_introns          2506.409 65.22526 1088.325 2327.028 576.7749 4660.062 17355142 278.4105 2272.855
clockRate.c:6500_introns          473.7861 16.85084 276.7419 406.4202 94.64393 1059.798 17914595 269.7161 404.009 
clockRate.c:6639_introns          18063.88 802.2367 13003.05 12376.82 4814.443 45853.60 18391959 262.7156 14511.88
clockRate.c:6641_introns          28841.73 1124.885 18484.57 25274.79 3397.053 60460.02 17894181 270.0238 22204.51
clockRate.c:6689_introns          1854.802 147.3468 2341.923 856.9902 83.02662 7850.453 19127159 252.6174 1047.567
clockRate.c:6947_introns          213.8556 15.53722 248.9622 116.1396 4.849277 786.5290 18818877 256.7557 116.6631
clockRate.c:6992_introns          9693.963 234.2461 4171.928 9175.162 2687.539 17898.99 15232980 317.1969 8822.897
clockRate.c:7141_introns          18581.23 645.8748 10698.57 16750.27 3559.046 38270.10 17609984 274.3815 15391.70
clockRate.c:7174_introns          656.0106 18.24731 307.3786 617.0686 183.4861 1228.910 17028019 283.7590 583.9951
clockRate.c:7313_introns          1876.394 70.57430 1153.618 1512.003 450.8770 4462.153 18083519 267.1966 1611.670
clockRate.c:7324_introns          1981.729 92.38236 1481.793 1543.701 278.4475 5282.368 18780908 257.2748 1518.364
clockRate.c:7333_introns          23292.44 790.4713 13226.87 21770.72 2329.105 46534.73 17257259 279.9897 19098.25
clockRate.c:7572_introns          22875.30 868.6329 14371.09 17129.19 6672.252 55070.57 17652522 273.7203 19544.23
clockRate.c:7602_introns          12940.16 424.8972 7003.259 11202.95 2029.015 27705.47 17786123 271.6643 11187.89
mutationRate.s:4527_introns       32.05078 0.174335 2.732267 32.32252 25.82241 36.76621 19671376 245.6287 31.93002
mutationRate.s:4848_introns       0.013616 0.000767 0.012086 0.00901  0.002028 0.032365 19480304 248.0379 0.009771
mutationRate.s:4932_introns       0.009635 0.000756 0.011858 0.005258 0.001217 0.035251 19613827 246.3494 0.005772
mutationRate.s:4992_introns       0.036066 0.001655 0.026037 0.026664 0.010118 0.095593 19534286 247.3525 0.029312
mutationRate.s:5116_introns       0.134153 0.007358 0.11498  0.084532 0.031023 0.401611 19786072 244.2048 0.099894
